time_s,raw_adc,centered_adc,filtered_100hz_adc
0.0,15.0,-0.11390256323204895,-0.0008902725818510467
0.001,15.0,-0.11390256323204895,-0.12345932705459023
0.002,15.0,-0.11390256323204895,-0.19766221000489512
0.003,15.0,-0.11390256323204895,-0.1992092957873986
0.004,15.0,-0.11390256323204895,-0.1306390457641711
0.005,15.0,-0.11390256323204895,-0.018951669979609682
0.006,15.0,-0.11390256323204895,0.0951713288939653
0.007,15.0,-0.11390256323204895,0.17219708729805008
0.008,15.0,-0.11390256323204895,0.18721642002915226
0.009,15.0,-0.11390256323204895,0.13758636443082356
0.01,15.0,-0.11390256323204895,0.042617196382667324
0.011,15.0,-0.11390256323204895,-0.0639991775021961
0.012,15.0,-0.11390256323204895,-0.14602501009217697
0.013,15.0,-0.11390256323204895,-0.17668020531159098
0.014,15.0,-0.11390256323204895,-0.14700134197552106
0.015,15.0,-0.11390256323204895,-0.06815247970929009
0.016,15.0,-0.11390256323204895,0.03272989228285753
0.017,15.0,-0.11390256323204895,0.12162911754932777
0.018,15.0,-0.11390256323204895,0.16875777486455112
0.019,15.0,-0.11390256323204895,0.15824454516820693
0.02,15.0,-0.11390256323204895,0.09340356824039879
0.021,15.0,-0.11390256323204895,-0.004121136467833406
0.022,15.0,-0.11390256323204895,-0.1012254077565248
0.023,15.0,-0.11390256323204895,-0.16423417495960563
0.024,15.0,-0.11390256323204895,-0.17040846455247138
0.025,15.0,-0.11390256323204895,-0.11622840609357457
0.026,15.0,-0.11390256323204895,-0.019405977840739563
0.027,15.0,-0.11390256323204895,0.08649173378867109
0.028,16.0,0.886097436767951,0.16339816462763812
0.029,15.0,-0.11390256323204895,0.18238292345493393
0.03,16.0,0.886097436767951,0.13471128102853544
0.031,15.0,-0.11390256323204895,0.036028210860370107
0.032,15.0,-0.11390256323204895,-0.07837510605274617
0.033,15.0,-0.11390256323204895,-0.16599499723408184
0.034,15.0,-0.11390256323204895,-0.19295958599478363
0.035,15.0,-0.11390256323204895,-0.147356522647932
0.036,15.0,-0.11390256323204895,-0.044705108832372775
0.037,15.0,-0.11390256323204895,0.0770009574257575
0.038,16.0,0.886097436767951,0.17126313386752318
0.039,15.0,-0.11390256323204895,0.20096458190507893
0.04,15.0,-0.11390256323204895,0.15323991926048994
0.041,15.0,-0.11390256323204895,0.04526724430781507
0.042,15.0,-0.11390256323204895,-0.08169317779676762
0.043,15.0,-0.11390256323204895,-0.17804864774239118
0.044,15.0,-0.11390256323204895,-0.2054024777881127
0.045,15.0,-0.11390256323204895,-0.15210055004989476
0.046,15.0,-0.11390256323204895,-0.03840006417310856
0.047,15.0,-0.11390256323204895,0.0910981740189824
0.048,16.0,0.886097436767951,0.18497912746664372
0.049,15.0,-0.11390256323204895,0.20559145592225947
0.05,16.0,0.886097436767951,0.14436213838325043
0.051,15.0,-0.11390256323204895,0.025528761896451917
0.052,15.0,-0.11390256323204895,-0.10339220578146101
0.053,15.0,-0.11390256323204895,-0.19067001038929357
0.054,15.0,-0.11390256323204895,-0.20126930260909587
0.055,15.0,-0.11390256323204895,-0.13108092519172532
0.056,15.0,-0.11390256323204895,-0.008621606042797651
0.057,15.0,-0.11390256323204895,0.11654071522250019
0.058,16.0,0.886097436767951,0.19393178505323816
0.059,15.0,-0.11390256323204895,0.19265284083133408
0.06,15.0,-0.11390256323204895,0.11382552159952279
0.061,15.0,-0.11390256323204895,-0.010061444865390406
0.062,15.0,-0.11390256323204895,-0.12857264842861213
0.063,15.0,-0.11390256323204895,-0.19394697577272207
0.064,15.0,-0.11390256323204895,-0.1804394006654288
0.065,15.0,-0.11390256323204895,-0.09450219918445373
0.066,15.0,-0.11390256323204895,0.028242329584935017
0.067,15.0,-0.11390256323204895,0.13783244410376547
0.068,16.0,0.886097436767951,0.1903910465604583
0.069,15.0,-0.11390256323204895,0.16574694218174418
0.07,15.0,-0.11390256323204895,0.07514560441075961
0.071,15.0,-0.11390256323204895,-0.04388677079256583
0.072,15.0,-0.11390256323204895,-0.1431772183096694
