frequency_hz,repeat_id,run_dir,raw_dir,analysis_dir,no_audio_file,without_object_file,with_object_file,status,notes
100,1,0100Hz/repeat_01,0100Hz/repeat_01/raw,0100Hz/repeat_01/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
100,2,0100Hz/repeat_02,0100Hz/repeat_02/raw,0100Hz/repeat_02/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
100,3,0100Hz/repeat_03,0100Hz/repeat_03/raw,0100Hz/repeat_03/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
100,4,0100Hz/repeat_04,0100Hz/repeat_04/raw,0100Hz/repeat_04/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
100,5,0100Hz/repeat_05,0100Hz/repeat_05/raw,0100Hz/repeat_05/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
200,1,0200Hz/repeat_01,0200Hz/repeat_01/raw,0200Hz/repeat_01/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
200,2,0200Hz/repeat_02,0200Hz/repeat_02/raw,0200Hz/repeat_02/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
200,3,0200Hz/repeat_03,0200Hz/repeat_03/raw,0200Hz/repeat_03/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
200,4,0200Hz/repeat_04,0200Hz/repeat_04/raw,0200Hz/repeat_04/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
200,5,0200Hz/repeat_05,0200Hz/repeat_05/raw,0200Hz/repeat_05/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
300,1,0300Hz/repeat_01,0300Hz/repeat_01/raw,0300Hz/repeat_01/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
300,2,0300Hz/repeat_02,0300Hz/repeat_02/raw,0300Hz/repeat_02/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
300,3,0300Hz/repeat_03,0300Hz/repeat_03/raw,0300Hz/repeat_03/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
300,4,0300Hz/repeat_04,0300Hz/repeat_04/raw,0300Hz/repeat_04/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
300,5,0300Hz/repeat_05,0300Hz/repeat_05/raw,0300Hz/repeat_05/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
400,1,0400Hz/repeat_01,0400Hz/repeat_01/raw,0400Hz/repeat_01/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
400,2,0400Hz/repeat_02,0400Hz/repeat_02/raw,0400Hz/repeat_02/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
400,3,0400Hz/repeat_03,0400Hz/repeat_03/raw,0400Hz/repeat_03/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
400,4,0400Hz/repeat_04,0400Hz/repeat_04/raw,0400Hz/repeat_04/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
400,5,0400Hz/repeat_05,0400Hz/repeat_05/raw,0400Hz/repeat_05/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
500,1,0500Hz/repeat_01,0500Hz/repeat_01/raw,0500Hz/repeat_01/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
500,2,0500Hz/repeat_02,0500Hz/repeat_02/raw,0500Hz/repeat_02/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
500,3,0500Hz/repeat_03,0500Hz/repeat_03/raw,0500Hz/repeat_03/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
500,4,0500Hz/repeat_04,0500Hz/repeat_04/raw,0500Hz/repeat_04/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
500,5,0500Hz/repeat_05,0500Hz/repeat_05/raw,0500Hz/repeat_05/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
600,1,0600Hz/repeat_01,0600Hz/repeat_01/raw,0600Hz/repeat_01/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
600,2,0600Hz/repeat_02,0600Hz/repeat_02/raw,0600Hz/repeat_02/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
600,3,0600Hz/repeat_03,0600Hz/repeat_03/raw,0600Hz/repeat_03/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
600,4,0600Hz/repeat_04,0600Hz/repeat_04/raw,0600Hz/repeat_04/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
600,5,0600Hz/repeat_05,0600Hz/repeat_05/raw,0600Hz/repeat_05/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
700,1,0700Hz/repeat_01,0700Hz/repeat_01/raw,0700Hz/repeat_01/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
700,2,0700Hz/repeat_02,0700Hz/repeat_02/raw,0700Hz/repeat_02/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
700,3,0700Hz/repeat_03,0700Hz/repeat_03/raw,0700Hz/repeat_03/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
700,4,0700Hz/repeat_04,0700Hz/repeat_04/raw,0700Hz/repeat_04/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
700,5,0700Hz/repeat_05,0700Hz/repeat_05/raw,0700Hz/repeat_05/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
800,1,0800Hz/repeat_01,0800Hz/repeat_01/raw,0800Hz/repeat_01/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
800,2,0800Hz/repeat_02,0800Hz/repeat_02/raw,0800Hz/repeat_02/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
800,3,0800Hz/repeat_03,0800Hz/repeat_03/raw,0800Hz/repeat_03/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
800,4,0800Hz/repeat_04,0800Hz/repeat_04/raw,0800Hz/repeat_04/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
800,5,0800Hz/repeat_05,0800Hz/repeat_05/raw,0800Hz/repeat_05/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
900,1,0900Hz/repeat_01,0900Hz/repeat_01/raw,0900Hz/repeat_01/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
900,2,0900Hz/repeat_02,0900Hz/repeat_02/raw,0900Hz/repeat_02/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
900,3,0900Hz/repeat_03,0900Hz/repeat_03/raw,0900Hz/repeat_03/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
900,4,0900Hz/repeat_04,0900Hz/repeat_04/raw,0900Hz/repeat_04/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
900,5,0900Hz/repeat_05,0900Hz/repeat_05/raw,0900Hz/repeat_05/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
1000,1,1000Hz/repeat_01,1000Hz/repeat_01/raw,1000Hz/repeat_01/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
1000,2,1000Hz/repeat_02,1000Hz/repeat_02/raw,1000Hz/repeat_02/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
1000,3,1000Hz/repeat_03,1000Hz/repeat_03/raw,1000Hz/repeat_03/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
1000,4,1000Hz/repeat_04,1000Hz/repeat_04/raw,1000Hz/repeat_04/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
1000,5,1000Hz/repeat_05,1000Hz/repeat_05/raw,1000Hz/repeat_05/analysis,no_audio.csv,without_object.csv,with_object.csv,planned,
